AO,BE
Rabotnicki Skopje,Rabotnicki
Rapide Oued Zem,Rapide Oued Zem
Ratchaburi,Ratchaburi
Real Betis Balompie II,Betis B
Real Madrid B,Real Madrid B
Real Murcia CF Imperial,Real Murcia B
Real Racing Club Santander,Santander
Red Bull Salzburg,Salzburg
Rennes,Rennes
Rheindorf Altach,Altach
Rio Ave,Rio Ave
Roskilde,Roskilde
SC Dnipro-1,Dnipro-1
SCM Argesul Pitesti,Arges Pitesti
SCR Altach,Altach
SJK Akatemia,SJK Akatemia
SK Dynamo Ceske Budejovice,Ceske Budejovice
SKF Sered,Sered
SKN St. Polten,St. Polten
SV Mattersburg,Mattersburg
Saint Etienne,St Etienne
Sampdoria ,Sampdoria
San Martin de San Juan,San Martin S.J.
San Martin de Tucuman,San Martin T.
Sangimignano,Sangimignano Sport
Santa Clara,Santa Clara
Santamarina Tandil,Santamarina
Sc Neusiedl Am See,Neusiedl
Sektzia Nes Tziona FC,Nes Tziona
Sevilla FC II,Sevilla FC B
Siquinala,Siquinala
Skeid Fotball,Skeid
Skovshoved,Skovshoved
Smolevichi,Smolevichi STI
Smouha Sporting Club,Smouha
Sogndal IL II,Sogndal 2
Sol de America (N),Sol de America
Sola,Sola
Sporting Braga B,Braga B
St Gallen,St. Gallen
St. Polten,St. Polten
Stade Gabesien,Stade Gabesien
Steinkjer,Steinkjer
Stenhousemuir,Stenhousemuir
Stevenage,Stevenage
Sturm Graz (Am),Sturm Graz (Am)
TSC Backa Topola,Backa Topola
TSV 1860 Munich,Munich 1860
Tambov,FC Tambov
Tarxien Rainbows,Tarxien
Team Thorengruppen FF,Team TG FF
Tondela,Tondela
Torino ,Torino
Tromsdalen UIL,Tromsdalen
Tvaakers IF,Tvaakers
UD Oliveirense,Oliveirense
UD Villa Santa Brigida,Villa Santa Brigida
UMF Selfoss,Selfoss
US Boulogne,Boulogne
US Cremonese,Cremonese
US Monastir,Monastir
USM Alger (N),USM Alger
Ujpest,Ujpest
Unan Managua,UNAN-Managua
Union St Gilloise,St. Gilloise
Unterhaching,Unterhaching
Utebo FC,Utebo FC
Utsiktens BK,Utsiktens
Vasco da Gama RJ (N),Vasco
Vendsyssel FF,Vendsyssel
ViOn Zlate Moravce,Z. Moravce
Vilamarxant CF,Vilamarxant
Villarreal B,Villarreal B
Vitoria Guimaraes B,Guimaraes B
Vitoria de Setubal,Setubal
Vittsjo GIK (W),Vittsjo W
Wacker Innsbruck,Wacker Innsbruck
West Brom,West Brom
Zemplin Michalovce,Michalovce
Zira Baku (N),Zira
Academico Viseu,Academico Viseu
Akhisar Belediyespor,Akhisar Genclik Spor
Al Fayha,Al Feiha
Al Wihdat (JOR),Al Wehdat
BK 46,BK-46
CA Atlanta (N),Atletico Atlanta
CA Sansinena,Sansinena
CD Nacional,Nacional
CF Reus,Reus Deportiu
Cambuur Leeuwarden (R),Jong Cambuur
Central Cordoba De Santiago Del Estero,Central Cordoba
Club Atletico Defensores Unidos,Defensores Unidos
Club Atletico Torque,CA Torque
Club Olimpo,Olimpo Bahia Blanca
DAC Dunajska Streda,Dun. Streda
Estudiantes de San Luis,Sportivo Estudiantes
FC Kyzyl-Zhar SK,Kyzylzhar
FC Lokomotiv 1929 Sofia,Lok. Sofia
FK Ufa II,Ufa 2
Famalicao,Famalicao
Floro,Floro
Floy Flekkeroy,Flekkeroy
Fortuna Sittard (R),Jong Sittard
Gijon B,Gijon B
Grasshopper Zurich,Grasshoppers
Guangzhou Fuli,Guangzhou R&F
Ham Kam,Ham-Kam
Helmond Sport (R),Jong Helmond
IK Frej,Frej
JJ Urquiza (N),Justo Jose de Urquiza
Kisvarda FC,Kisvarda
Kongsvinger IL,Kongsvinger
L.A Galaxy,Los Angeles Galaxy
L.A Galaxy II,LA Galaxy 2
Levanger,Levanger
Levanger FK,Levanger
Lokomotiv Oslo FK,Lokomotiv Oslo
Moss FK,Moss
Notodden,Notodden
OFK Petrovac,OFK Petrovac
OKC Energy,Oklahoma City Energy
Oman Club,Oman FC
PEC Zwolle (R),Jong Zwolle
Pacos Ferreira,Ferreira
Pafos,Paphos
Prykarpattya Ivano Frankivsk,Prykarpattya
Real Madriz,Real Madriz
Real Oviedo Vetusta,R. Oviedo B
Recreativo Granada,Granada CF B
SC Cambuur (R),Jong Cambuur
SC Maria da Fonte,Maria de Fonte
Sevilla Atletico,Sevilla FC B
Slovan Bratislava,Slovan Bratislava
Sogndal Fotball,Sogndal
Sukhothai,Sukhothai
Suphanburi,Suphanburi
TSV 1860 Munchen,Munich 1860
UD Logrones II,Logrones Promesas
Ufa II,Ufa 2
Vardar Skopje,Vardar
Vidar,Vidar
Viking FK,Viking
Zenit St Petersburg II,Zenit Petersburg 2
ACS Sepsi OSK Sfantu Gheorghe,Sepsi
ADC Viterbese Castrense,Viterbese
Al Hala Muharraq,Al-Hala
Al Suwaiq,Al Suwaiq
Aldosivi,Aldosivi
Angers SCO,Angers
Aris FC Limassol,Aris
Arras,Arras
Brisbane Roar (W),Brisbane Roar W
CA Boca Unidos,Boca Unidos
CA Estudiantes de Caseros,CA Estudiantes
CA Pueblonuevo,Pueblonuevo
CA Pulpileno,CA Pulpileno
CD Antofagasta,Antofagasta
CD Feirense,Feirense
CD La Almunia,La Almunia
CD Palestino,Palestino
CD Praviano,Praviano
CF Platges De Calvia,Platges de Calvia
Cerro Montevideo,CA Cerro
Cruzeiro,Cruzeiro
Dhofar Salalah,Dhofar
Digenis Voroklinis FC,Voroklinis
Dijon FCO,Dijon
Dinamo Moscow U21,Dynamo Moscow U21
Dreams Sports Club,Dreams
EN THOI Lakatamia,Thoi Lakatamias
Eastern Suburbs,Eastern Suburbs
Eastern Suburbs Auckland,Eastern Suburbs
El Gounah,El Gounah
Everton Vina Del Mar,Everton
FC La Union Atletico,La Union
FC Rieti,Rieti
FK Krasnodar U21,Krasnodar U21
FK Ural Sverdlovskaya Oblast U21,Ural U21
Genoa CFC U19,Genoa U19
Gokulam Kerala,Gokulam
IL Sandviken (W),Sandviken W
Kisvarda Master Good,Kisvarda
Louisville City FC,Louisville City
Matera Calcio,Matera
Mazarron FC,Mazarron CF
Melbourne City FC (W),Melbourne City W
Mjondalen,Mjondalen
Molde FK,Molde
Napoli U19,Napoli U19
Olympiakos Nicosia,Ol. Nicosia
Phoenix Rising FC,Phoenix Rising
Racing Club Villalbes,Racing Club Villalbes
Rogaska,Rogaska
Royal Pari FC,Royal Pari
SC Rheindorf Altach,Altach
SK Brann,Brann
SV Wals-Grunau,Wals-Grunau
Sainte Genevieve Sports,Sainte-Genevieve
Sarpsborg 08 FF,Sarpsborg 08
Sv Seekirchen,Seekirchen
TS Polonia Poznan (W),Polonia W
Universidad Catolica Santiago,U. Catolica
Venados FC,Venados
Villarreal CF C,Villarreal C
Wellington Phoenix (R),Wellington Phoenix Res 2
1. FK Pribram U19,Pribram U19
A.S. Bisceglie Calcio 1913,Bisceglie
AC Gozzano,Gozzano
AS Gabes,Gabes
Aguilas FC,Aguilas FC
Al Muharraq,Al-Muharraq
Al Muharraq Sports Club,Al-Muharraq
Anagennisi FC,Anagennisi Derynia
Artsakh,Artsakh
Atletico Gimnasia y Esgrima de Mendoza,Gimnasia Mendoza
Atletico Tomelloso,Tomelloso CF
CD Brea,Brea
CD Castellon SAD,Castellon
CD Cayon,Cayon
CD Coria,CD Coria
CD Ferriolense,Ferriolense
CD Robres,Robres
CS Sedan Ardennes,Sedan
CS Sportul Snagov (N),Sportul Snagov
Casertana FC,Casertana
Cays Defensores De Belgrano,Def. de Belgrano
Club Africain,Club Africain
Club Atletico Pulpileno,CA Pulpileno
Club Villa Dalmine,Villa Dalmine
Cobreloa,Cobreloa
Comunicaciones,Comunicaciones
Creteil,Creteil
DHJ El Jadida,Difaa El Jadidi
Dalum If,Dalum IF
Dorados,Dorados de Sinaloa
Douglas Haig,Douglas Haig
Drobak Frogn,Drobak-Frogn
EA Guingamp,Guingamp
EDF Logrono (W),EDF Logrono W
ES Metlaoui,Metlaoui
El Masry (N),El Masry
Estudiantes San Luis,Sportivo Estudiantes
Excelsior Rotterdam (R),Jong Excelsior
FC Astra Giurgiu,Astra
FC Jove Espanol,Jove
FC Kitzbuhel,Kitzbuhel
FC Lokomotiva Kosice,Lok. Kosice
FC Obolon Brovar Kyiv,Obolon Brovar Kyjev
FC Oleksandriya,Oleksandriya
FC Orenburg U21,FK Orenburg U21
FC Sete 34,Sete
FC Shirak,Shirak Gyumri
FC Slutsk,Slutsk
FC Sumy (N),Sumy
FC Wiener Neustadt,Neustadt
FK Atyrau,Atyrau
FK Austria Wien,Austria Vienna
FK Dinamo Vranje,Din. Vranje
FK Haugesund,Haugesund
FK Liepaja Mogo,FK Liepaja
FK Murom,Murom
FK Proleter Novi Sad,Proleter
FS Metta LU Riga (N),Metta/LU
Fc Dornbirn,Dornbirn
Fc Stadlau,Stadlau
Fc Sydvest,Sydvest
Flora Tallinn II,Flora U21
Fortuna Hjorring (W),Fortuna Hjorring W
General San Martin,San Martin Formosa
Guijuelo,Guijuelo
Hapoel Rishon LeZion,H. Ironi Rishon
Hapoel Rishon Lezion,H. Ironi Rishon
Husqvarna,Husqvarna
IK Start,Start
Inter Bratislava,I. Bratislava
Isloch Minsk Raion,Isloch Minsk
Jiskra Domazlice,Domazlice
KP Blekitni Stargard Szczecinski,Blekitni Stargard
Kolding If,Kolding IF
Krupa,Krupa
Lucko,Lucko
MFK OKD Karvina U19,Karvina U19
Mallorca B,Mallorca B
Mlada Boleslav U19,Mlada Boleslav U19
Montpellier HSC,Montpellier
Moralo CP,Moralo
NK Bravo,Bravo
NK Maribor,Maribor
Neroca,NEROCA
Nimes Olympique,Nimes
Numancia B,Numancia B
Odd BK 2,Odds 2
Olimpia Asuncion (N),Olimpia Asuncion
Olimpo de Bahia Blanca,Olimpo Bahia Blanca
Olympique Khouribga,Olympique Khouribga
Padideh Khorasan,Padideh Khorasan
Padideh Mashhad,Padideh Khorasan
Partizan Bardejov,Bardejov
Platense,Platense
Pobeda Prilep (N),Pobeda
Porrino Industrial FC,Porrino Industrial
Port,Port MTI FC
Prostejov,Prostejov
RC Strasbourg Alsace,Strasbourg
Racing Club Ferrol,Ferrol
Radnik Bijeljina,Radnik Bijeljina
Rio Grande Valley Toros,Rio Grande
River Plate Montevideo,River Plate
Ryazan,Ryazan
SC Mirandela,SC Mirandela
SD Textil Escudo,Textil Escudo
SK Rapid Wien,Rapid Vienna
SK Sturm Graz,Sturm Graz
Saham Club,Saham
Sarmiento De Junin,Sarmiento Junin
Scr Altach Ii,Altach (Am)
Shakhter Karagandy (N),Shakhtar Karagandy
Sigma Olomouc U19,Sigma Olomouc U19
Sky Blue (W),Sky Blue W
Sogndal IL,Sogndal
Sokol Zivanice,Zivanice
Sp Espinho,SC Espinho
St Etienne,St Etienne
Stade Reims,Reims
Sur SC,Sur Club
Sutjeska Niksic,Sutjeska
Syzran-2003,Syzran
Tallinna Kalev,Tallinna Kalev
Taraji Wadi Al Nes,Wadi Al-Nes
Teuta Durres (N),Teuta
Toulouse FC,Toulouse
Trans Narva,Narva
Tsv St Johann,Johann
UCAM Murcia CF II,UCAM Murcia B
UD Granadilla Tenerife Sur (W),Tenerife W
UD Socuellamos,Socuellamos
US Sassuolo Calcio U19,Sassuolo U19
Udinese U19,Udinese U19
Union Saint-Gilloise,St. Gilloise
Union Vocklamarkt,Vocklamarkt
Washington DC United,DC United
Wellington Phoenix II,Wellington Phoenix Res 2
Western Sydney Wanderers (W),WS Wanderers W
Wolfsberger AC II,AC Wolfsberger (Am)
Yanbian Fude,Yanbian
Zira FK (N),Zira
Bengaluru FC,Bengaluru
El Zamalek (N),Zamalek
Hapoel Petach Tikva,Hapoel Petah Tikva
Indian Arrows (N),Indian Arrows
Kryliya Sovetov U21,Krylya Sovetov Samara U21
Panachaiki 2005,Panachaiki
Southern District RSA,Southern District
TSW Pegasus,Pegasus
AFC Dunarea 2005 Calarasi,Calarasi
Aizawl,Aizawl
Al Hala (N),Al-Hala
Al Shoalah,Al-Shoalah
Al Tadamon Farwaniyah,Al Tadamon
Albinoleffe,AlbinoLeffe
Albion Rovers,Albion Rovers
Atletico de Pinto,Atletico Pinto
Avanhard Kramatorsk,Kramatorsk
Avezzano,Avezzano
Belgrano,Belgrano
Brisbane Roar FC,Brisbane Roar
Cagliari U19,Cagliari U19
Club Cipolletti,Cipolletti
Cobresal,Cobresal
Coruxo Vigo,Coruxo FC
Dhofar Club,Dhofar
Duna Aszfalt TVSE,Duna Aszfalt
Dunav Ruse FC,Dunav Ruse
FC Lorient II,Lorient II
FC Rostov na Donu U21,FK Rostov U21
FC Rustavi (N),Rustavi
FC Sudtirol,Sudtirol
FC Viitorul Constanta,FC Viitorul
FK Arsenal Tula U21,Arsenal Tula U21
FK Buducnost Dobanovci,Buducnost Dobanovci
FK Pardubice U19,FK Pardubice U19
Fk Jpfs/ Spartaks Jurmala,Spartaks
Gornik Konin,Gornik Konin
Guadalajara Chivas,Guadalajara Chivas
Humble Lions,Humble Lions
KKPN Baltyk Koszalin,Koszalin
KS Kastrioti Kruje,Kastrioti
KS Luftetari Gjirokaster,Luftetari Gjirokastra
KS Sokol Kleczew,Kleczew
KS Wierzyca Pelplin,Wierzyca
Kastrioti Kruje,Kastrioti
Kraluv Dvur,Kraluv Dvur
Le Havre AC II,Le Havre II
Lech Poznan II,Lech Poznan 2
Loja CF,Loja
Louisville City (N),Louisville City
Louletano DC,Louletano
Lyn Fotball (W),Lyn W
MKS Pogon Szczecin II,Pogon Szczecin II
Melbourne City FC,Melbourne City
Mizoram Police,Police
Monterrey,Monterrey
Municipal Grecia (N),Grecia
NK Dinamo Zagreb,D. Zagreb
Ordabasy (N),Ordabasy
PFC Beroe,Beroe
Pena Sport FC,Pena
Police FC Saint James (N),Police
Polonia Warszawa,Polonia Warszawa
Riffa Club,Al Riffa
SV Mattersburg Amateure,Mattersburg (Am)
Sabah FK,Sabah Baku
Sabail FK,Sabail
Siquinala FC,Siquinala
Tijuana,Club Tijuana
UDC Txantrea,Txantrea
US Granville,Granville
Uniao da Madeira,U. Madeira
Villarreal CF III,Villarreal C
Viterbese Castrense,Viterbese
Wellington Phoenix FC,Wellington Phoenix
Western Sydney Wanderers FC (N),WS Wanderers
Xelaju MC,Xelaju
AFC Bournemouth,Bournemouth
AS Saint Etienne II,St Etienne II
Al Masry,El Masry
Al Shabab Oman (N),Al-Shabab
Al Tadhamon,Al Tadamon
Albacete Balompie II,Albacete B
Alma Juventus Fano 1906,Fano
Arenas Club,Arenas Club
Athletic Club Bilbao,Ath Bilbao
B.93,B.93
Bourg-Peronnas,Bourg Peronnas
Brighton And Hove Albion,Brighton
Brighton and Hove Albion,Brighton
Budaiya FC  (N),Al-Budaiya
CA Osasuna B,Osasuna B
CD Numancia II,Numancia B
CD Santiago Wanderers,S. Wanderers
CD Tarancon,Tarancon
CD Valle de Egues,Valle Egues
CE Felanitx,Felanitx
CF Platges de Calvia,Platges de Calvia
CF Salmantino,Salmantino
CF Torre Levante,Torre Levante
CS Sfaxien,Sfaxien
CWKS Resovia Rzeszow,R. Rzeszow
Ceara,Ceara
Chacarita,Chacarita Juniors
Chamois Niort FC,Niort
Cholet SO,Cholet
Chonburi,Chonburi
Churchill Brothers SC,Churchill Brothers
Club Olimpico de Totana,Club Olimpico de Totana
Cottbus,Energie Cottbus
Deportivo Municipal,Dep. Municipal
Dinamo Bryansk,D. Bryansk
Dinamo Bucuresti (N),Din. Bucuresti
Drancy,JA Drancy
Empoli FC U19,Empoli U19
Epinal,Epinal
Espanyol,Espanyol
FC Balkany Zorya,Balkany
FC Bastia-Borgo,Bastia-Borgo
FC Cesarense,FC Cesarense
FC Lviv,Lviv
FC Rapperswil-Jona,Rapperswil
FC Samtredia (N),Samtredia
FC Slavia Karlovy Vary,Karlovy Vary
FC Viktoria Plzen U19,Plzen U19
FK Lokomotiv Moscow U21,Lokomotiv Moscow U21
FK Mlada Boleslav,Mlada Boleslav
FK Zlatibor Cajetina,Zlatibor Cajetina
FS METTA LU,Metta/LU
Fortaleza,Fortaleza
Futbol Alcobendas Sport,Alcobendas
Gyirmot Gyor,Gyirmot
Hercules CF,Hercules
Huesca,Huesca
Huragan Morag,Huragan Morag
Independiente CG (N),Independiente
Independiente Neuquen,Independiente de Neuquen
Inhulets Petrove,Inhulets
KF Laci,Laci
KF Laci (N),Laci
KS Kamza,Kamza
KS Legionovia Legionowo,Legionowo
Kamaz,Kamaz
Kamza,Kamza
Karmiotissa,Karmiotissa
Kastrioti Kruje (N),Kastrioti
Krasnodar,Krasnodar
Krasnodar II,Krasnodar 2
Llaneros FC,Llaneros
Mohun Bagan AC,Mohun Bagan
NK Medimurje Cakovec,Medjimurje Cakovec
Nomme Kalju,Kalju
Parma FC,Parma
Persija Jakarta (N),Persija Jakarta
Qarabag Aghdam,Qarabag
Radunia Stezyca,Stezyca
Raja Casablanca,Raja Casablanca
Real Sport Clube Queluz,Real SC
Real Valladolid CF,Valladolid
Red Star FC 93,Red Star
Rotor Volgograd,R. Volgograd
SK Sigma Olomouc,Sigma Olomouc
SK Slavia Praha,Slavia Prague
SK Spartak Hulin,Hulin
SPAL,Spal
San Fernando CD,San Fernando
Spartak Moscow II,Spartak Moscow 2
Sumgayit FK,SumQayit
Sv Schwechat,Schwechat
Tours FC,Tours
UD Ciudad de Torredonjimeno,Torredonjimeno
US Sassuolo,Sassuolo
Uerdingen,Uerdingen
Valencia B,Valencia B
Virtus Francavilla Calcio,Virtus Francavilla
Wadi Degla SC (N),Wadi Degla
Zalaegerszeg,Zalaegerszegi
Zenit St. Petersburg U21,Zenit Petersburg U21
Zvezda Ryazan,Ryazan
AC Pavia,Pavia
ASC St. Georgen,ASC St. Georgen
Astra HFC (W),Astra Hungary W
Axys Zola,Axys Zola
Berwick Rangers,Berwick
CA Huracan,Huracan
CA Sarmiento,Sarmiento Junin
CA Velez Sarsfield,Velez Sarsfield
CCD Alberite,CCD Alberite
CE Esporles,Esporles
Calvina Sport,Calvina
Casale,Casale
Citta Di Messina,Citta di Messina
Coritiba,Coritiba
El Nacional,EL Nacional
Elgin City,Elgin City
FC Arda Kardzhali,Arda
FCSR Haguenau,Haguenau
GD Estoril Praia,Estoril
Golden Arrows (R),Golden Arrows U21
Gravina,Gravina
Guayaquil City,Guayaquil City
Lechia Dzierzoniow,Lechia Dzierzoniow
Lentigione,Lentigione
MFK Skalica,Skalica
Mantova FC,Mantova
Markez Tulkrem,Markaz Tulkarm
Messina,Messina
Pomigliano,Pomigliano
Ponte Preta,Ponte Preta
Pordenone Calcio,Pordenone
Pro Sesto,Pro Sesto
SKA Khabarovsk,SKA Khabarovsk
Tamai,Tamai
Tatran Presov,Presov
Team Altamura,Altamura
US Gavorrano,Gavorrano
AC Prato,Prato
AC Sangiovannese,Sangiovannese
AC Tuttocuoio,Tuttocuoio
ACD Aglianese,AC Aglianese
ACD Bastia 1924,Bastia
Albalonga,Albalonga
Bergerac Foot,Bergerac
Boulogne Billancourt AC,Boulogne
CA Acassuso,Acassuso
CD Minera,Deportiva Minera
CD Varea,Varea
CP Villarrobledo,Villarrobledo
Calcio Montebelluna 1919,Montebelluna
FC Krasnodar U21,Krasnodar U21
FK Bezanija,Bezanija
FK Partizan Bardejov,Bardejov
FK Zvezda Perm,FC Zvezda Perm
Folgore Caratese,Folgore Caratese
Ittihad Riadi Tanger,IR Tanger
KS Gornik Zabrze II,Gornik Z. 2
KS Rozwoj Katowice,Rozwoj Katowice
Kazincbarcika,Kazincbarcikai
Montebelluna,Montebelluna
OSC Lille II,Lille II
Patronato,Patronato
Petrzalka,Petrzalka
Real Cartagena (N),Cartagena
Real Giulianova SSD,Giulianova
Roccella,Roccella
Scandicci,Scandicci
Skenderbeu Korce,Skenderbeu
Teuta Durres,Teuta
Tyumen,Tyumen
US Avellino,Avellino
US Vibonese Calcio,Vibonese
USD Real Forte Quereceta,Real Forte Querceta
Varzim SC,Varzim
Wehen Wiesbaden,Wehen
AE Karaiskakis,Karaiskakis
AO Chania Kissamikos,Chania Kissamikos
ASD Anima e Corpo Orobica (W),Orobica W
ASD Portici 1906,Portici 1906
ASD Rotonda Calcio,Rotonda
ASD Sasso Marconi 1924,Sasso Marconi
Adelaide United (W),Adelaide W
Adrense,Adrense
Aiginiakos,Aiginiakos
Aittitos Spata,Aittitos Spata
AmaZulu (R),Amazulu U21
Amurrio,Amurrio Club
Andrezieux,Andrezieux
Apollon Larissa,Apollon Larissa
Atalanta CFD (W),Atalanta W
BSF (W),BSF W
Betis B,Betis B
Bidvest Wits FC (R),Bidvest Wits U21
Breitenrain Bern,Breitenrain
Brisbane Roar (W) (N),Brisbane Roar W
CD Cebrerena,Cebrerena
CD Junior Barranquilla,Junior
CD Mensajero,Mensajero
CF Internacional De Madrid,Internacional de Madrid
Canberra United (W),Canberra W
Cimarrones de Sonora,Cimarrones de Sonora
Doxa Dramas,Dramas
El Gouna,El Gounah
Ergotelis,Ergotelis
Este,Este
FK Indija,FK Indjija
FK Kyran,FK Kyran
Fidelis Andria,Andria
HNK Hajduk Split II,Hajduk Split 2
Hamilton Wanderers (N),Hamilton
Hapoel Ramat Gan,Hap. Ramat Gan
Highlands Park FC (R),Highlands U21
Huetor Tajar,Huetor Tajar
KS Stilon Gorzow Wielkopolski,Stilon Gorzow
Kitchee SC,Kitchee
Kohtla-Jarve JK Jarve,JK Jarve
La Chapelle des Marais,Chapelle
Mamelodi Sundowns (R),Mamelodi Sundowns U21
Melbourne City (W),Melbourne City W
Merelinense,Merelinense
NK Ankaran Postojna,Ankaran
NK Fuzinar,Fuzinar
NK Istra 1961,Istra 1961
Parana Clube PR (N),Parana
Paykan FC,Paykan
Polideportivo Almeria,CP Almeria
Polokwane City (R),Polokwane U21
RSC Anderlecht (W),RSC Anderlecht W
Reggio Audace FC,Reggio Audace
Rks Radomiak Radom,Radomiak Radom
SC Bastia,Bastia
SC Internacional Porto Alegre,Internacional
Standard Liege (W),St. Liege W
Supersport United (R),Supersport Utd U21
Trikala,AO Trikala
Twente (W),Twente W
US Adriese 1906,Adriese
USM Alger ,USM Alger
Valencia Feminas (W),Valencia W
Valle Egues,Valle Egues
Viktoria Plzen U19,Plzen U19
Vilaverdense FC,Vilaverdense
Wiener SC,Wiener Sportklub
AC Virtus Bolzano,Virtus Bolzano
ACS Petrolul 52 Ploiesti,Petrolul
AD Sabinanigo,Sabinanigo
ASD Castrovillari Calcio,Castrovillari
ASD Troina Calcio,Troina
ASK-BSC Bruck/Leitha,Bruck Leitha
Aizawl FC,Aizawl
Amarante FC,Amarante
Atletico de Madrid (W),Atl. Madrid W
Benfica Castelo Branco,SB Castelo Branco
Bermeo Futbol Taldea,Bermeo
CA Argentino de Rosario,Argentino de Rosario
CA Tacoronte,Club Atletico Tacoronte
CAP Ciudad de Murcia,Ciudad de Murcia
CD Alfaro,Alfaro
CD Bupolsa,Bupolsa
CD Leganes B,Leganes B
CD Madalena de Morcin,La Madalena
CD Quintanar del Rey,Quintanar
CD Ribadumia,Ribadumia
CD Trofense,Trofense
CF Alebrijes de Oaxaca,Alebrijes Oaxaca
CF Braila,Braila
CF Rapid de Murillo,CF Rapid
CF Reus B,Reus Deportiu B
CF Reus Deportiu,Reus Deportiu
CF Uniao da Madeira,U. Madeira
CP San Cristobal,San Cristobal CP
Calvo Sotelo Puertollano CF,Puertollano C.F.
Campodarsego,Campodarsego
Castiadas,Castiadas
Crema,Crema
Eastern AA,Eastern AA
FC Ferreiras,Ferreiras
FC Igea Virtus Barcellona,Igea Virtus
FK Javor Ivanjica,Javor
Florentia (W),Florentia W
Gornik Zabrze II,Gornik Z. 2
Guangzhou R&F FC,Guangzhou R&F U19
Guillermo Brown (N),Guillermo Brown
Hajduk Split II,Hajduk Split 2
Hapoel Nir Ramat HaSharon,Ramat Hasharon
Hoi King SA,Hoi King
Juventude de Pedras Salgadas,Pedras Salgadas
Juventus (W),Juventus W
KMSK Deinze,Deinze
Keila JK,Keila JK
LKS Lomza,LKS Lomza
Lille OSC (W),Lille W
Lugano Tapiales,Lugano
Massese,Massese
Matelica,Matelica
Mauerwerk,Mauerwerk
Mineros de Zacatecas,Zacatecas Mineros
Munsingen,Munsingen
ND Bilje,Bilje
NK Brezice 1919,Brezice
NK Dob,Dob
NK Kustosija Zagreb,Kustosija
NK Nafta 1903,Nafta
NK Rogaska,Rogaska
NK Tabor Sezana,Tabor Sezana
Nafta,Nafta
Nocerina,Nocerina
Oliveirense,Oliveirense
Oskarshamns Aik,Oskarshamns
Perth Glory (W),Perth W
Portici,Portici 1906
Pyramids FC,Pyramids
Racing Valverdeno,RCP Valverdeno
Racing Vilalbes,Racing Club Villalbes
Royal Knokke,Knokke
SC Neusiedl am See 1919,Neusiedl
SD Borja,Borja
SD Formentera,Formentera
SD Laredo,Laredo
SD Ponferradina,Ponferradina
SD Tarazona,Tarazona
Sangiovannese,Sangiovannese
Sao Paulo,Sao Paulo
Savoia,Savoia
Sokol Aleksandrow Lodzki,Sokol Aleksandrow L.
Sporting Covilha,Covilha
Thy Thisted Q (W),Thisted FC W
US Palmese,US Palmese
Universidad San Martin (N),U. San Martin
Viterbese,Viterbese
Yverdon Sport,Yverdon
AD San Juan de Mozarrifar,San Juan Zaragoza
Al Nasar Al Farwaniyah,Al Naser
Al Wihdat Amman,Al Wehdat
Apollon Larissa FC,Apollon Larissa
Atletico Malagueno,Malaga B
CSM Politehnica Iasi,Poli Iasi
FC Khimki,FK Chimki Moskovska oblast
Fiorentina (W),Fiorentina W
Hapoel Rishon Letzion,H. Ironi Rishon
Heart of Midlothian,Hearts
Khimki,FK Chimki Moskovska oblast
Malkiya Club,Malkia
Mitre Santiago Del Estero,Club Atletico Mitre
Naft Masjed Soleyman,Naft Ahvaz
Olympiacos CFP,Olympiakos Piraeus
Wolverhampton Wanderers,Wolves
AC Sammaurese,Sammaurese
ACYD Altos Hornos Zapla,AH Zapla
AD Union Magdalena,U. Magdalena
AE Karaiskakis FC,Karaiskakis
AE Zakakiou,Zakakiou
AEZ Zakakiou,Zakakiou
AOK Kerkyra,Kerkyra
AS Digenis Voroklinis,Voroklinis
AS Villers Houlgate,Villers Houlgate
AS Vitre,Vitre
ASD Cjarlins Muzane,Cjarlins Muzane
ASD Francavilla Calcio 1927,ASD Francavilla
ASD Pink Spot Time Bari (W),Bari W
ASD Polisportiva Calcio Budoni,Budoni
ASD SC Castiadas,Castiadas
ASIL Lysi,ASIL Lysi
Abahani Chittagong,Abahani Chittagong
Aiginiakos FC,Aiginiakos
Al Ahly Cairo,Al Ahly
Al Hazm,Al-Hazem
Al Kuwait SC (N),Al Kuwait
Al Naser Al Farwaniyah,Al Naser
Albacete B,Albacete B
Alhaurin,Alhaurin
Alhaurin De La Torre,Alhaurin
Alianza Universidad Huanuco,Alianza Huanuco
Almopos Aridaea,Almopos
Aluminium Arak FC,Aluminium Arak
Anagennisi Deryneia,Anagennisi Derynia
Anagennisi Derynia,Anagennisi Derynia
Ankaragucu (N),Ankaragucu
Apoel Nicosia,APOEL
Apollon Paralimniou FC,Apollon Paralimniou
Aquila Montevarchi,Montevarchi Calcio
Arosa,Arosa SC
Arvand Khorramshahr,Arvand Khorramshahr
Avaldsnes (W),Avaldsnes W
Ayeyawady United,Ayeyawady
Balzan,Balzan
Bandari,Bandari
Banik Ostrava (N),Ostrava
Bari,Bari
Bashundhara Kings,Bashundara Kings
Bastia Borgo,Bastia-Borgo
Bergerac Perigord,Bergerac
Black Leopards (R),Black Leopards U21
Boavista Porto,Boavista
Bordeaux Stade,Stade Bordelais
Botev Galabovo,Botev Galabovo
Boulogne Billancourt,Boulogne
Braga,Braga
Brisbane Roar ,Brisbane Roar
Brothers Union,Brothers U.
